product_id,product_name,category,subcategory,price,cost
1,Headphones Product 1,Electronics,Headphones,149130.53,83729.93
2,Monitors Product 2,Electronics,Monitors,47942.6,33910.57
3,Headphones Product 3,Electronics,Headphones,96639.35,72933.87
4,Laptops Product 4,Electronics,Laptops,55491.53,42098.68
5,Smartphones Product 5,Electronics,Smartphones,99636.45,80739.03
6,Headphones Product 6,Electronics,Headphones,57326.6,42184.45
7,Headphones Product 7,Electronics,Headphones,85508.26,47815.38
8,Smartphones Product 8,Electronics,Smartphones,25437.57,20857.03
9,Laptops Product 9,Electronics,Laptops,116823.35,76261.05
10,Tablets Product 10,Electronics,Tablets,40467.87,24473.62
11,Monitors Product 11,Electronics,Monitors,59158.05,43071.7
12,Laptops Product 12,Electronics,Laptops,21311.02,17004.93
13,Monitors Product 13,Electronics,Monitors,44336.33,32874.96
14,Laptops Product 14,Electronics,Laptops,102623.78,79205.87
15,Tablets Product 15,Electronics,Tablets,118493.4,94687.19
16,Laptops Product 16,Electronics,Laptops,129983.93,79078.37
17,Monitors Product 17,Electronics,Monitors,140200.09,91418.28
18,Laptops Product 18,Electronics,Laptops,39331.04,29708.34
19,Tablets Product 19,Electronics,Tablets,28234.29,21978.97
20,Headphones Product 20,Electronics,Headphones,26931.42,22447.54
21,Headphones Product 21,Electronics,Headphones,25401.6,18356.04
22,Headphones Product 22,Electronics,Headphones,141925.89,87496.69
23,Laptops Product 23,Electronics,Laptops,51695.76,37861.01
24,Tablets Product 24,Electronics,Tablets,15602.44,12608.88
25,Monitors Product 25,Electronics,Monitors,16199.73,12363.38
26,Tablets Product 26,Electronics,Tablets,55060.89,46002.74
27,Headphones Product 27,Electronics,Headphones,77984.57,65263.55
28,Monitors Product 28,Electronics,Monitors,48859.14,35812.05
29,Headphones Product 29,Electronics,Headphones,116018.59,73810.03
30,Tablets Product 30,Electronics,Tablets,33863.74,20597.55
31,Monitors Product 31,Electronics,Monitors,18260.67,13743.49
32,Monitors Product 32,Electronics,Monitors,123701.99,70801.19
33,Smartphones Product 33,Electronics,Smartphones,137107.9,100047.68
34,Laptops Product 34,Electronics,Laptops,7319.41,5170.89
35,Tablets Product 35,Electronics,Tablets,87421.95,55140.53
36,Smartphones Product 36,Electronics,Smartphones,13175.72,8686.32
37,Headphones Product 37,Electronics,Headphones,46344.8,30011.68
38,Headphones Product 38,Electronics,Headphones,16396.14,13088.71
39,Laptops Product 39,Electronics,Laptops,16351.17,12568.81
40,Tablets Product 40,Electronics,Tablets,93021.12,57146.62
41,Headphones Product 41,Electronics,Headphones,71535.59,57497.63
42,Monitors Product 42,Electronics,Monitors,14877.47,11747.86
43,Headphones Product 43,Electronics,Headphones,127778.43,72033.51
44,Monitors Product 44,Electronics,Monitors,40083.44,32226.35
45,Smartphones Product 45,Electronics,Smartphones,42736.78,33374.34
46,Smartphones Product 46,Electronics,Smartphones,5568.27,3653.66
47,Headphones Product 47,Electronics,Headphones,57624.98,40842.49
48,Smartphones Product 48,Electronics,Smartphones,104503.01,73895.78
49,Monitors Product 49,Electronics,Monitors,9303.31,7161.23
50,Laptops Product 50,Electronics,Laptops,113737.39,62785.08
51,Tablets Product 51,Electronics,Tablets,19727.45,15849.24
52,Monitors Product 52,Electronics,Monitors,83803.38,65374.66
53,Headphones Product 53,Electronics,Headphones,24669.59,14581.08
54,Tablets Product 54,Electronics,Tablets,83743.77,68993.8
55,Headphones Product 55,Electronics,Headphones,62587.64,52364.81
56,Monitors Product 56,Electronics,Monitors,76113.98,59954.12
57,Headphones Product 57,Electronics,Headphones,80975.56,51327.28
58,Laptops Product 58,Electronics,Laptops,20991.39,15991.88
59,Monitors Product 59,Electronics,Monitors,50791.61,39223.34
60,Tablets Product 60,Electronics,Tablets,81340.01,53022.37
61,Monitors Product 61,Electronics,Monitors,63468.1,41832.65
62,Tablets Product 62,Electronics,Tablets,118204.89,94856.22
63,Tablets Product 63,Electronics,Tablets,26912.93,15842.81
64,Monitors Product 64,Electronics,Monitors,136599.87,114783.55
65,Headphones Product 65,Electronics,Headphones,147812.3,82422.91
66,Smartphones Product 66,Electronics,Smartphones,132408.75,74527.92
67,Tablets Product 67,Electronics,Tablets,56063.79,34696.31
68,Laptops Product 68,Electronics,Laptops,11190.4,6948.41
69,Smartphones Product 69,Electronics,Smartphones,119957.02,97230.63
70,Smartphones Product 70,Electronics,Smartphones,31489.09,20379.52
71,Headphones Product 71,Electronics,Headphones,5358.26,3275.12
72,Headphones Product 72,Electronics,Headphones,83465.24,50466.82
73,Smartphones Product 73,Electronics,Smartphones,42801.25,27192.01
74,Monitors Product 74,Electronics,Monitors,78861.35,52436.51
75,Monitors Product 75,Electronics,Monitors,93108.35,71229.87
76,Laptops Product 76,Electronics,Laptops,75087.79,60453.38
77,Laptops Product 77,Electronics,Laptops,63633.93,52158.23
78,Headphones Product 78,Electronics,Headphones,107988.31,68874.99
79,Headphones Product 79,Electronics,Headphones,22710.79,12534.3
80,Tablets Product 80,Electronics,Tablets,126940.7,107320.36
81,Laptops Product 81,Electronics,Laptops,137910.39,87762.58
82,Smartphones Product 82,Electronics,Smartphones,79016.4,62550.6
83,Laptops Product 83,Electronics,Laptops,106222.6,84162.16
84,Smartphones Product 84,Electronics,Smartphones,110635.81,67170.0
85,Smartphones Product 85,Electronics,Smartphones,19206.42,14058.6
86,Smartphones Product 86,Electronics,Smartphones,94148.72,69408.35
87,Smartphones Product 87,Electronics,Smartphones,56760.3,31356.35
88,Smartphones Product 88,Electronics,Smartphones,78082.71,52675.41
89,Headphones Product 89,Electronics,Headphones,24274.57,18576.44
90,Headphones Product 90,Electronics,Headphones,51947.56,36869.99
91,Headphones Product 91,Electronics,Headphones,60782.6,46307.22
92,Headphones Product 92,Electronics,Headphones,26788.09,16185.35
93,Tablets Product 93,Electronics,Tablets,72167.91,46638.85
94,Tablets Product 94,Electronics,Tablets,84437.58,53169.42
95,Laptops Product 95,Electronics,Laptops,57022.77,46121.23
96,Smartphones Product 96,Electronics,Smartphones,49017.51,36056.47
97,Monitors Product 97,Electronics,Monitors,122555.2,98836.33
98,Headphones Product 98,Electronics,Headphones,57547.19,43005.21
99,Laptops Product 99,Electronics,Laptops,109514.57,73128.21
100,Monitors Product 100,Electronics,Monitors,130393.84,99814.75
101,Smartphones Product 101,Electronics,Smartphones,96919.42,58409.91
102,Headphones Product 102,Electronics,Headphones,103216.18,62909.89
103,Laptops Product 103,Electronics,Laptops,138891.51,103699.02
104,Laptops Product 104,Electronics,Laptops,143516.64,118806.83
105,Tablets Product 105,Electronics,Tablets,27513.85,16413.59
106,Monitors Product 106,Electronics,Monitors,136473.34,83825.96
107,Headphones Product 107,Electronics,Headphones,132269.34,110656.87
108,Headphones Product 108,Electronics,Headphones,119970.62,89638.94
109,Monitors Product 109,Electronics,Monitors,11581.82,7423.48
110,Monitors Product 110,Electronics,Monitors,82733.64,51372.33
111,Laptops Product 111,Electronics,Laptops,48967.85,32275.09
112,Laptops Product 112,Electronics,Laptops,118465.95,95567.63
113,Monitors Product 113,Electronics,Monitors,30717.02,22017.45
114,Tablets Product 114,Electronics,Tablets,40236.71,23604.74
115,Headphones Product 115,Electronics,Headphones,110646.11,90149.13
116,Laptops Product 116,Electronics,Laptops,24485.78,16354.65
117,Laptops Product 117,Electronics,Laptops,141302.18,101923.12
118,Tablets Product 118,Electronics,Tablets,129855.35,93922.13
119,Headphones Product 119,Electronics,Headphones,91798.56,70456.21
120,Laptops Product 120,Electronics,Laptops,134022.8,97981.69
121,Monitors Product 121,Electronics,Monitors,65987.76,39991.12
122,Laptops Product 122,Electronics,Laptops,66189.21,39622.64
123,Tablets Product 123,Electronics,Tablets,37199.46,30515.53
124,Headphones Product 124,Electronics,Headphones,114033.92,93872.61
125,Smartphones Product 125,Electronics,Smartphones,32371.31,24679.1
126,Tablets Product 126,Electronics,Tablets,20999.82,17542.64
127,Monitors Product 127,Electronics,Monitors,36681.17,21816.93
128,Smartphones Product 128,Electronics,Smartphones,20467.03,13493.75
129,Smartphones Product 129,Electronics,Smartphones,82332.53,49562.53
130,Smartphones Product 130,Electronics,Smartphones,40017.14,28662.8
131,Monitors Product 131,Electronics,Monitors,121681.68,91967.54
132,Headphones Product 132,Electronics,Headphones,77938.01,54694.92
133,Monitors Product 133,Electronics,Monitors,65923.98,49777.83
134,Tablets Product 134,Electronics,Tablets,100201.98,65853.67
135,Laptops Product 135,Electronics,Laptops,95722.84,63971.93
136,Smartphones Product 136,Electronics,Smartphones,119864.2,99099.43
137,Smartphones Product 137,Electronics,Smartphones,30538.68,19344.39
138,Tablets Product 138,Electronics,Tablets,35672.21,23770.37
139,Smartphones Product 139,Electronics,Smartphones,122256.51,98606.68
140,Monitors Product 140,Electronics,Monitors,48313.9,33243.08
141,Tablets Product 141,Electronics,Tablets,125327.06,75058.55
142,Laptops Product 142,Electronics,Laptops,130839.39,94355.46
143,Smartphones Product 143,Electronics,Smartphones,3719.23,2212.07
144,Monitors Product 144,Electronics,Monitors,25371.77,21009.31
145,Monitors Product 145,Electronics,Monitors,112466.96,84260.53
146,Smartphones Product 146,Electronics,Smartphones,45627.76,31637.86
147,Monitors Product 147,Electronics,Monitors,29169.84,21399.7
148,Laptops Product 148,Electronics,Laptops,136774.67,98883.27
149,Headphones Product 149,Electronics,Headphones,12672.38,9580.73
150,Headphones Product 150,Electronics,Headphones,14211.51,11940.86
151,Laptops Product 151,Electronics,Laptops,59853.58,44290.88
152,Laptops Product 152,Electronics,Laptops,17599.27,10510.66
153,Headphones Product 153,Electronics,Headphones,61693.69,47861.84
154,Laptops Product 154,Electronics,Laptops,8309.47,6080.46
155,Smartphones Product 155,Electronics,Smartphones,17655.3,11736.8
156,Smartphones Product 156,Electronics,Smartphones,19686.52,11894.83
157,Smartphones Product 157,Electronics,Smartphones,92740.94,51895.53
158,Laptops Product 158,Electronics,Laptops,108533.0,81238.61
159,Monitors Product 159,Electronics,Monitors,114064.81,94641.94
160,Laptops Product 160,Electronics,Laptops,138844.8,107470.31
161,Laptops Product 161,Electronics,Laptops,5842.35,4215.64
162,Headphones Product 162,Electronics,Headphones,57228.46,35053.61
163,Smartphones Product 163,Electronics,Smartphones,99152.48,68078.39
164,Tablets Product 164,Electronics,Tablets,116564.32,67734.23
165,Tablets Product 165,Electronics,Tablets,26667.73,15388.08
166,Smartphones Product 166,Electronics,Smartphones,118538.6,89486.27
167,Monitors Product 167,Electronics,Monitors,21349.5,13901.66
168,Smartphones Product 168,Electronics,Smartphones,86591.5,56110.58
169,Laptops Product 169,Electronics,Laptops,22774.17,14484.69
170,Laptops Product 170,Electronics,Laptops,2862.1,2281.01
171,Laptops Product 171,Electronics,Laptops,105183.67,69423.13
172,Tablets Product 172,Electronics,Tablets,108319.66,86860.87
173,Smartphones Product 173,Electronics,Smartphones,121626.55,93749.13
174,Smartphones Product 174,Electronics,Smartphones,120862.71,74256.29
175,Monitors Product 175,Electronics,Monitors,89551.55,52697.59
176,Monitors Product 176,Electronics,Monitors,74634.74,41431.73
177,Smartphones Product 177,Electronics,Smartphones,34560.83,23712.89
178,Laptops Product 178,Electronics,Laptops,41536.65,28126.9
179,Tablets Product 179,Electronics,Tablets,82589.34,58794.67
180,Headphones Product 180,Electronics,Headphones,46249.69,38258.02
181,Laptops Product 181,Electronics,Laptops,126997.41,79729.89
182,Smartphones Product 182,Electronics,Smartphones,133248.91,104408.03
183,Smartphones Product 183,Electronics,Smartphones,21384.62,14852.81
184,Smartphones Product 184,Electronics,Smartphones,63542.23,41845.53
185,Laptops Product 185,Electronics,Laptops,72052.78,51680.47
186,Tablets Product 186,Electronics,Tablets,9328.25,6807.01
187,Smartphones Product 187,Electronics,Smartphones,66634.25,51072.77
188,Smartphones Product 188,Electronics,Smartphones,64853.92,52440.18
189,Smartphones Product 189,Electronics,Smartphones,62027.47,36533.95
190,Tablets Product 190,Electronics,Tablets,79797.77,66515.09
191,Smartphones Product 191,Electronics,Smartphones,51555.83,32393.48
192,Laptops Product 192,Electronics,Laptops,124216.82,93825.26
193,Smartphones Product 193,Electronics,Smartphones,33508.99,25570.69
194,Tablets Product 194,Electronics,Tablets,5147.73,2921.82
195,Smartphones Product 195,Electronics,Smartphones,92535.74,76100.85
196,Headphones Product 196,Electronics,Headphones,143501.38,103224.63
197,Headphones Product 197,Electronics,Headphones,55474.35,45373.18
198,Tablets Product 198,Electronics,Tablets,93549.09,61860.87
